,no,title,points,countries,country,days,day,total
0,1,Red Notice,25918,90,288,48,540,25918
1,2,We Can Be Heroes,25311,82,309,214,118,25311
2,3,Army of the Dead,18888,89,212,92,205,18888
3,4,Wish Dragon,16953,82,207,88,193,16953
4,5,Army of Thieves,15081,90,168,52,290,15081
5,6,The Mitchells vs. The Machines,14902,82,182,74,201,14902
6,7,Fatherhood,14660,82,179,54,271,14660
7,8,The Unforgivable,13458,89,151,20,673,13458
8,9,The Guilty,12930,83,156,43,301,12930
9,10,Yes Day,12809,81,158,66,194,12809
10,11,Love Hard,11782,90,131,50,236,11782
11,12,Outside the Wire,11661,82,142,45,259,11661
12,13,Love and Monsters,11582,81,143,33,351,11582
13,14,Kate,11224,83,135,50,224,11224
14,15,Vivo,11037,79,140,58,190,11037
15,16,Minions,10972,78,141,132,83,10972
16,17,Back to the Outback,10555,88,120,20,528,10555
17,18,He's All That,10222,83,123,35,292,10222
18,19,Sweet Girl,10051,82,123,32,314,10051
19,20,Blood Red Sky,9757,82,119,31,315,9757
20,21,Major Grom: Plague Doctor,9642,80,121,98,98,9642
21,22,My Little Pony: A New Generation,9615,81,119,41,235,9615
22,23,The Forgotten Battle,9321,83,112,24,388,9321
23,24,The Kissing Booth 3,9219,82,112,28,329,9219
24,25,To All the Boys: Always and Forever,9058,83,109,24,377,9058
25,26,Fast & Furious Presents: Hobbs & Shaw,8994,73,123,257,35,8994
26,27,Thunder Force,8842,82,108,35,253,8842
27,28,I Care a Lot,8610,54,159,41,210,8610
28,29,The Woman in the Window,8547,82,104,33,259,8547
29,30,365 Days,8488,60,141,313,27,8488
30,31,The Harder They Fall,8433,89,95,28,301,8433
31,32,Afterlife of the Party,8172,80,102,27,303,8172
32,33,The Secret Life of Pets 2,8161,54,151,322,25,8161
33,34,The Last Mercenary,8132,82,99,26,313,8132
34,35,A Boy Called Christmas,8084,75,108,36,225,8084
35,36,Finding 'Ohana,7939,81,98,49,162,7939
36,37,Night Teeth,7824,88,89,22,356,7824
37,38,Fifty Shades of Grey,7760,75,103,113,69,7760
38,39,Resort to Love,7711,79,98,33,234,7711
39,40,News of the World,7600,80,95,29,262,7600
40,41,Gemini Man,7497,53,141,211,36,7497
41,42,Things Heard & Seen,7396,82,90,29,255,7396
42,43,Spider-Man: Homecoming,7338,75,98,130,56,7338
43,44,Awake,7217,81,89,24,301,7217
44,45,Venom,6928,44,157,183,38,6928
45,46,Deadly Illusions,6900,82,84,18,383,6900
46,47,Below Zero,6828,82,83,31,220,6828
47,48,The White Tiger,6755,80,84,73,93,6755
48,49,SAS: Red Notice,6709,64,105,32,210,6709
49,50,Fear Street: 1994,6653,80,83,31,215,6653
50,51,Spoiled Brats,6447,72,90,22,293,6447
51,52,Bruised,6325,86,74,28,226,6325
52,53,Sentinelle,6230,83,75,21,297,6230
53,54,Hotel Transylvania 3: Summer Vacation,6219,51,122,188,33,6219
54,55,The Dig,6172,82,75,25,247,6172
55,56,Moxie,6062,81,75,24,253,6062
56,57,Intrusion,6045,83,73,17,356,6045
57,58,Sonic the Hedgehog,6015,54,111,202,30,6015
58,59,A Castle for Christmas,5948,87,68,24,248,5948
59,60,Pieces of a Woman,5908,79,75,21,281,5908
60,61,Man on Fire,5724,72,80,20,286,5724
61,62,Space Sweepers,5662,81,70,64,88,5662
62,63,Paper Lives,5647,62,91,44,128,5647
63,64,Spider-Man: Far from Home,5640,42,134,170,33,5640
64,65,Secret Magic Control Agency,5607,77,73,32,175,5607
65,66,Xtreme,5488,82,67,27,203,5488
66,67,Chernobyl: Abyss,5405,48,113,58,93,5405
67,68,Hypnotic,5392,89,61,18,300,5392
68,69,Beckett,5363,82,65,18,298,5363
69,70,Blackhat,5360,60,89,33,162,5360
70,71,Central Intelligence,5344,81,66,18,297,5344
71,72,Don't Look Up,5313,89,60,6,886,5313
72,73,The Loud House Movie,5299,75,71,40,132,5299
73,74,The Grinch,5247,58,90,209,25,5247
74,75,The Last Letter from Your Lover,5142,69,75,27,190,5142
75,76,Penguins of Madagascar,5077,69,74,47,108,5077
76,77,Schumacher,5041,67,75,23,219,5041
77,78,The Princess Switch 3: Romancing The Star,5031,89,57,21,240,5031
78,79,Stowaway,4955,61,81,22,225,4955
79,80,Seaspiracy,4916,49,100,44,112,4916
80,81,Death to 2020,4824,74,65,27,179,4824
81,82,Sky High,4784,70,68,32,150,4784
82,83,Kingdom: Ashin of the North,4765,80,60,88,54,4765
83,84,Aftermath,4764,79,60,18,265,4764
84,85,Blue Miracle,4724,81,58,20,236,4724
85,86,Shrek,4721,53,89,151,31,4721
86,87,The Secret Life of Pets,4633,69,67,75,62,4633
87,88,Good on Paper,4532,75,60,16,283,4532
88,89,Trollhunters: Rise of the Titans,4442,80,56,17,261,4442
89,90,There's Someone Inside Your House,4411,83,53,17,259,4411
90,91,Jack Reacher: Never Go Back,4375,72,61,72,61,4375
91,92,Squared Love,4366,82,53,19,230,4366
92,93,The Equalizer 2,4354,54,81,164,27,4354
93,94,The Silver Skates,4281,67,64,48,89,4281
94,95,The Croods,4247,78,54,52,82,4247
95,96,Fear Street: 1978,4128,81,51,24,172,4128
96,97,I Am All Girls,4089,79,52,19,215,4089
97,98,Bad Trip,4047,81,50,14,289,4047
98,99,Double Dad,4027,72,56,17,237,4027
99,100,Stuck Together,3927,65,60,29,135,3927
100,101,Baywatch,3901,65,60,90,43,3901
101,102,Run,3898,31,126,56,70,3898
102,103,Nightbooks,3871,83,47,16,242,3871
103,104,Crazy About Her,3855,66,58,32,120,3855
104,105,The Starling,3848,76,51,21,183,3848
105,106,Home,3793,61,62,90,42,3793
106,107,Fear Street: 1666,3783,81,47,17,223,3783
107,108,Skater Girl,3739,79,47,21,178,3739
108,109,Yara,3737,86,43,17,220,3737
109,110,Prey,3718,83,45,12,310,3718
110,111,No One Gets Out Alive,3672,83,44,11,334,3672
111,112,The Water Man,3644,73,50,26,140,3644
112,113,Trouble,3586,25,143,35,102,3586
113,114,Rurouni Kenshin: The Final,3576,60,60,38,94,3576
114,115,The Stronghold,3556,72,49,14,254,3556
115,116,The Magnificent Seven,3446,39,88,20,172,3446
116,117,Britney Vs Spears,3426,71,48,22,156,3426
117,118,Oxygen,3414,82,42,24,142,3414
118,119,Ride Along 2,3407,65,52,21,162,3407
119,120,The Father Who Moves Mountains,3365,79,43,13,259,3365
120,121,How I Became a Superhero,3323,81,41,21,158,3323
121,122,Rurouni Kenshin: The Beginning,3308,78,42,18,184,3308
122,123,Kung Fu Panda 3,3288,55,60,30,110,3288
123,124,The Midnight Sky,3282,81,41,20,164,3282
124,125,Security,3276,75,44,16,205,3276
125,126,Red Dot,3244,79,41,15,216,3244
126,127,Warcraft,3173,64,50,22,144,3173
127,128,The Girl on the Train,3098,68,46,35,89,3098
128,129,The Informer,3083,26,119,62,50,3083
129,130,The Witcher: Nightmare of the Wolf,3024,73,41,34,89,3024
130,131,Dracula Untold,2906,64,45,18,161,2906
131,132,Jumanji: Welcome to the Jungle,2885,29,99,92,31,2885
132,133,The SpongeBob Movie: Sponge on the Run,2867,30,96,163,18,2867
133,134,Into the Beat,2851,69,41,15,190,2851
134,135,Shrek 2,2835,43,66,77,37,2835
135,136,How to Train Your Dragon: The Hidden World,2831,47,60,104,27,2831
136,137,Once Upon a Time in Hollywood,2794,31,90,133,21,2794
137,138,Believe Me: The Abduction of Lisa McVey,2733,39,70,75,36,2733
138,139,What Men Want,2716,37,73,94,29,2716
139,140,Jurassic World,2638,56,47,20,132,2638
140,141,Dora and the Lost City of Gold,2622,41,64,118,22,2622
141,142,Seventh Son,2601,39,67,14,186,2601
142,143,Animals on the Loose: A You vs. Wild Interactive Movie,2596,77,34,14,185,2596
143,144,I Feel Pretty,2542,18,141,41,62,2542
144,145,Sightless,2485,62,40,13,191,2485
145,146,The Swarm,2482,73,34,10,248,2482
146,147,Tower Heist,2458,41,60,39,63,2458
147,148,47 Ronin,2458,54,46,29,85,2458
148,149,Monster,2453,65,38,10,245,2453
149,150,Mortal Engines,2339,45,52,83,28,2339
150,151,Ted 2,2335,48,49,26,90,2335
151,152,R.I.P.D.,2325,39,60,19,122,2325
152,153,A Week Away,2314,76,30,13,178,2314
153,154,This Little Love of Mine,2314,58,40,19,122,2314
154,155,Men in Black: International,2309,28,82,104,22,2309
155,156,The Emoji Movie,2208,26,85,106,21,2208
156,157,Operation Varsity Blues: The College Admissions Scandal,2179,53,41,15,145,2179
157,158,Madame Claude,2179,60,36,25,87,2179
158,159,The Yin Yang Master,2161,51,42,27,80,2161
159,160,The Adventures of Sharkboy and Lavagirl,2075,25,83,75,28,2075
160,161,Rurouni Kenshin Part I: Origins,2059,56,37,47,44,2059
161,162,Sniper: Ultimate Kill,2055,34,60,77,27,2055
162,163,Angel Has Fallen,2024,17,119,65,31,2024
163,164,Twilight,1987,27,74,72,28,1987
164,165,The Twilight Saga: Breaking Dawn - Part 2,1945,27,72,66,29,1945
165,166,Aquaman,1940,14,139,95,20,1940
166,167,Room,1922,22,87,20,96,1922
167,168,I See You,1889,18,105,15,126,1889
168,169,2012,1886,31,61,51,37,1886
169,170,Wanted,1878,32,59,20,94,1878
170,171,Just Say Yes,1878,43,44,16,117,1878
171,172,Scoob!,202,1,202,28,7,202
172,173,The Son of Bigfoot,192,7,27,8,24,192
173,174,Ava,186,4,47,29,6,186
174,175,Bombshell,181,2,91,14,13,181
175,176,Man on a Ledge,174,4,44,13,13,174
