rank,title,original,point,days,day_ratio,total
1,Hospital Playlist,yes,"1,215",201,6,"1,215"
2,Vincenzo,yes,963,112,9,963
3,The Iron Squad,no,685,103,7,685
4,Love Marriage Divorce,yes,669,115,6,669
5,Men on a Mission,no,658,174,4,658
6,Hometown Cha-Cha-Cha,yes,643,91,7,643
7,Squid Game,yes,572,86,7,572
8,Demon Slayer: Kimetsu no Yaiba,no,549,104,5,549
9,Sisyphus: The Myth,yes,542,65,8,542
10,The King's Affection,yes,540,73,7,540
11,Law School,yes,525,66,8,525
12,Nevertheless,yes,516,74,7,516
13,Mine,no,482,63,8,482
14,The Uncanny Counter,no,473,58,8,473
15,Bridgerton,yes,435,71,6,435
16,You Are My Spring,yes,424,61,7,424
17,Change Days,no,422,77,5,422
18,Love After Divorce,no,405,79,5,405
19,D.P.,yes,389,52,7,389
20,My Name,yes,355,51,7,355
21,Racket Boys,yes,347,69,5,347
22,Run On,no,347,51,7,347
23,Lovestruck in the City,no,341,57,6,341
24,Mad for Each Other,yes,335,42,8,335
25,Sweet Home,yes,327,49,7,327
26,Attack on Titan,no,322,68,5,322
27,Inspector Koo,no,299,46,6,299
28,Beyond Evil,no,292,43,7,292
29,Reflection of You,yes,275,54,5,275
30,Hellbound,yes,255,34,8,255
31,Hotel Del Luna,no,241,43,6,241
32,I Am Solo,no,217,41,5,217
33,Love Naggers,no,210,74,3,210
34,Doomed Marriage,no,207,71,3,207
35,Our Beloved Summer,yes,206,24,9,206
36,Arcane,yes,204,28,7,204
37,Move to Heaven,yes,204,38,5,204
38,Sex/Life,yes,200,44,5,200
39,My Golden Kids,no,197,70,3,197
40,Miss Trot,no,197,40,5,197
41,Navillera,no,183,42,4,183
42,Love Naggers,no,181,63,3,181
43,Don't be the First One!,no,159,47,3,159
44,Search: WWW,no,157,29,5,157
45,The Fisherman and the City,no,153,51,3,153
46,The Hungry and the Hairy,no,144,20,7,144
47,Love Again,no,108,25,4,108
48,Lupin,yes,104,24,4,104
49,"Hello, Me!",yes,103,23,4,103
50,Paik's Spirit,no,101,15,7,101
51,Singleâ€™s Inferno,yes,98,12,8,98
52,The Way of the Househusband,yes,94,18,5,94
53,Nothing But Thirty,no,94,27,3,94
54,Crash Landing on You,yes,91,22,4,91
55,Money Heist,yes,90,20,4,90
56,Shadow and Bone,yes,68,15,5,68
57,Lost,no,66,16,4,66
58,The Witcher,yes,64,10,6,64
59,Heavenly Sword and Dragon Slaying Sabre,no,63,25,3,63
60,Love Alarm,yes,63,11,6,63
61,Fate: The Winx Saga,yes,62,12,5,62
62,The Gentlemen's League,no,58,19,3,58
63,Sex Education,yes,54,14,4,54
64,She Would Never Know,no,53,14,4,53
65,Tasty Guys,no,52,21,2,52
66,So Not Worth It,yes,52,11,5,52
67,A Love So Beautiful,no,52,24,2,52
68,Just Between Lovers,no,48,15,3,48
69,The Raincoat Killer: Chasing a Predator in Korea,yes,47,10,5,47
70,Bulgasal: Immortal Souls,no,46,8,6,46
71,Kingdom,yes,44,12,4,44
72,Baki Hanma,no,44,12,4,44
73,The Gentlemen's League 2,no,42,12,4,42
74,Parasyte -the maxim-,no,41,12,3,41
75,Jupiter's Legacy,yes,36,9,4,36
76,Reply 1988,no,35,22,2,35
77,Emily in Paris,yes,34,5,7,34
78,You,yes,34,9,4,34
79,The Queen's Gambit,yes,32,11,3,32
80,My Mister,no,30,13,2,30
81,The Silent Sea,yes,30,3,10,30
82,"Love, Death & Robots",yes,28,7,4,28
83,Into the Night,yes,25,6,4,25
84,The Irregulars,yes,24,6,4,24
85,Monthly Magazine Home,no,23,12,2,23
86,Sweet Tooth,yes,22,7,3,22
87,Record of Ragnarok,yes,20,7,3,20
88,Lost in Space,yes,20,5,4,20
89,My Hero Academia,no,20,11,2,20
90,Goblin,no,20,10,2,20
91,Mr. Sunshine,yes,19,8,2,19
92,Resident Evil: Infinite Darkness,yes,18,4,4,18
93,Pretty Guardians Sailor Moon Eternal The Movie,yes,14,3,5,14
94,Octonauts: Above & Beyond,yes,14,7,2,14
95,The Seven Deadly Sins,yes,12,5,2,12
96,Girl from Nowhere,yes,10,6,2,10
97,Lawless Lawyer,no,9,5,2,9
98,March of the Ants,no,8,4,2,8
99,New World,yes,7,4,2,7
100,Her Private Life,no,7,5,1,7
101,Taste of Wife,no,6,4,2,6
102,Haikyu!!,no,5,4,1,5
103,Age of Samurai: Battle for Japan,yes,4,2,2,4
104,Alice in Borderland,yes,4,3,1,4
105,To My Star,no,3,1,3,3
106,The Long Ballad,no,2,2,1,2
107,The Chair,yes,2,2,1,2
108,The God of High School,no,2,2,1,2
109,Fire Force,no,1,1,1,1
110,Touch Your Heart,no,1,1,1,1
111,Pacific Rim: The Black,yes,1,1,1,1
112,King of Golf,no,1,1,1,1
113,Dr. Stone,no,1,1,1,1
114,My Love From Another Star,no,1,1,1,1
